EbNo_dB,BER,BLER
-3.0,0.30264458,1.0
-2.5,0.26926747,1.0
-2.0,0.24441564,1.0
-1.5,0.18986283,1.0
-1.0,0.13029814,0.875
-0.5,0.05738427,0.4453125
0.0,0.0322448,0.16210938
0.5,0.016892606,0.09151786
1.0,0.011764772,0.059375
1.5,0.008797481,0.04296875
2.0,0.005196173,0.024739584
2.5,0.0048717954,0.022280093
3.0,0.0038270156,0.017233456
