EbNo_dB,BER,BLER
1.0,0.008676814,0.26041666
1.5,0.005132285,0.059375
2.0,0.0041901455,0.032552082
2.5,0.002748913,0.01890121
3.0,0.0019380498,0.0136264535
3.5,0.0013207446,0.009765625
4.0,0.0008103972,0.0058333334
4.5,0.00064763677,0.005
5.0,0.0004347761,0.003125
5.5,0.0003235752,0.0019791666
6.0,0.00025783494,0.0019791666
6.5,0.00014090937,0.00083333335
7.0,0.00017170288,0.0013541667
